TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
20,423.15,8,0.25,0.5,20,14.64,1
165,433.15,5.666666667,0,2,150,19.31818182,2
32.14999678,388.15,8,0.101967982,8,20.89999678,18.86363636,3
315,433.15,5.666666667,0,2,300,19.31818182,2
85.32386437,398.15,8,0.305903946,8,72.82386437,18.86363636,3
40,433.15,10,0.832611736,0.84,40,19.96590909,1
48,443.15,5,0,3,18,16.93181818,2
46,423.15,20,0,1.625,45.48090278,18.6,1
10.18837,433.15,3,0.20261577,2.75,10,15.94375124,2
110.7142857,443.15,15,0,0.59,90,16.03409,2
34.39519312,373.65,8,0.407871928,8,24.95769312,18.86363636,3
20,433.15,9,0.132546213,0.5,20,14.64,1
32.625,463.15,8,0,8,12,18.86363636,1
63.80016653,433.15,6,0,5,59.80016653,14.7,2
239.8303918,428.15,8,0,5,214.8303918,16.70454545,2
90.05793353,453.15,6,0,5,90.05793353,21.59090909,1
210,388.15,10,0.815669002,0.5,180,19.77272727,2
120,443.15,4,0.611751751,3,120,12.95,2
118,433.15,4,0.045708819,0.42,118,25.02272727,2
110.5356098,373.65,8,0.203935964,8,101.0981098,18.86363636,3
62.4743025,448.15,20,0.101958625,0.5,17.4743025,18.74431818,1
375,418.15,8,0,8,360,18.86363636,1
10.219765,443.15,3,0.20261577,2.75,10,15.94375124,2
54.4614892,408.15,8,0.305903946,8,40.7114892,18.86363636,2
120,443.15,4,0,10.35,60,19.74,2
70.875,433.15,8,0,8,54,18.86363636,1
11.25,388.15,8,0.305903946,8,0,18.86363636,3
136.2172813,408.15,8,0.101967982,8,122.4672813,18.86363636,2
80,463.15,8,8.51E-06,0.509,80,21.375,1
119.8701715,433.15,6,0,5,119.8701715,15.1,2
35,443.15,4,0.999666778,20,30,19.33,2
132.2404132,473.15,40,0,0.425,127.9863481,20.9,1
66,393.15,5,0.2,3,36,16.93181818,2
166.875,433.15,8,0,8,150,18.86363636,2
397.7622953,373.65,8,0.101967982,8,388.3247953,18.86363636,3
45,413.15,20,0,1.625,44.65393519,18.6,1
4.935015984,433.15,10,0.137136588,0.5,2.435015984,20.909,2
30,423.15,8,0.34,0.515,30,17.95454545,2
19,448.15,10,0.076468969,1,7,18.75,3
30.03997439,433.15,6,0,5,30.03997439,21.59090909,1
